Category,Custom Name,ASIN,Country Code,Product Title,Product Review URL,Review Rating,Review Date,Reviewer URL,Reviewer Name,Reviewer ID,Review Title,Review Text,Verified Review,Variation ASIN,Deleted,Colour,Size name
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RISNL5EM2G8A4,5,06-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AF4ML6CLY5VGASSMNKW4PVOVNKVQ,Mohit kumar,AF4ML6CLY5VGASSMNKW4PVOVNKVQ,Amezing,This is best phone .....,Yes,B07X4PKGSN,Not Deleted,Halo White,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2QB8NPM75JSE8,5,06-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHQ2W4BAU2WIVZQHK6YAPJBEXJIA,sudeep Singh,AHQ2W4BAU2WIVZQHK6YAPJBEXJIA,All good,All good,Yes,B07X4PKGSN,Not Deleted,Halo White,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3DBY243DW80M3,5,06-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AG73TH3NUBCQVKPCFHTV4PTXSXIQ,saumyaranjan,AG73TH3NUBCQVKPCFHTV4PTXSXIQ,Nice looking best products,Nice products,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3FUG43KS6AXIH,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGO25WT22VGUD5JRSVBQLJAJQQUQ,Sanket Shingote,AGO25WT22VGUD5JRSVBQLJAJQQUQ,Honest review,Good phone but if your looking in this price range I recommend you redmui 9 pro ...same price more features....👍✨,Yes,B07X1KT6LW,Not Deleted,Halo White,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2IORDOWE3NJWJ,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFYCVGPXYFAEUNU2QHBYTYBGE53Q,Baldevbhai,AFYCVGPXYFAEUNU2QHBYTYBGE53Q,Good,Good,Yes,B07X4R4F47,Not Deleted,Electric Blue,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/RMTO4U48LRIT5,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AGNHX5YOEDPI3PEFKIPYP5SZWXLA,GEETESH KUMAR,AGNHX5YOEDPI3PEFKIPYP5SZWXLA,Good phone,Good processor,Yes,B07X4PXKZQ,Not Deleted,Gamma Green,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2H1YT3U3DTRU,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHRZIRJ3UP5U3QE3TUY4D3XW7ZIQ,Surakshith Bangera,AHRZIRJ3UP5U3QE3TUY4D3XW7ZIQ,Baari porlu da phone,"Phone design is awesome
Battery is good
Camera is too awesome",Yes,B07X4R4F47,Not Deleted,Electric Blue,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R35R9LGCDZZGVP,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFIPSWUIBBYQYMVDGP4CWPRMQC7Q,CHANDRAJIT NAYAK,AFIPSWUIBBYQYMVDGP4CWPRMQC7Q,Nice,Nice,Yes,B07X1KSLBV,Not Deleted,Gamma Green,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1XGGEIU4XYF19,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AF7474ATW3C6ICQUBHTSNKWP5AYQ,Pradeep Sandhu,AF7474ATW3C6ICQUBHTSNKWP5AYQ,Camera bulging outside,"Camera remains outside even after applying back cover provided with it.
So there is a chance of damage of camera...",Yes,B07X4Q6QBR,Not Deleted,Gamma Green,8+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2WC7JLKY7GZ15,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AFEJHXSNYDHYRU75WFV2KNZL4SWQ,Shivam raj,AFEJHXSNYDHYRU75WFV2KNZL4SWQ,Good product from xiaomi,Best product in range of 14k,Yes,B07X1KT6LW,Not Deleted,Halo White,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1RR17Z9QBVVD,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHKRBFP444ZDJMKJOCHFGCO6GCEA,jadeja divyarajsinh,AHKRBFP444ZDJMKJOCHFGCO6GCEA,Good,Good,Yes,B07X4R4F47,Not Deleted,Electric Blue,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1ZR17X3MA3Q2A,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AH446QDDWXVIY7SK7WOQJA2YTQ3Q,Amod Shankar Jha,AH446QDDWXVIY7SK7WOQJA2YTQ3Q,latest and best smart fone,Very good smart fone I like much,No,B07X4PXKZQ,Not Deleted,Gamma Green,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2PK7CUEEEWFPI,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AH4EWSLCG57YS23D3CPZU7ROITIQ,sayyan,AH4EWSLCG57YS23D3CPZU7ROITIQ,Nice,Its a good phone,Yes,B07X4PXKZQ,Not Deleted,Gamma Green,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R3UME7VDYE2GNL,5,05-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AEEEFYVYGKOKNYHPEUKSYTK6PKZQ,Manoj,AEEEFYVYGKOKNYHPEUKSYTK6PKZQ,Worthy,Awesome 👍,Yes,B07X1KT6LW,Not Deleted,Halo White,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2F7XGZTCFJ8SK,5,04-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AF4PXEFQMMARVZLXW5JTSKB2ACVA,Amazon Customer,AF4PXEFQMMARVZLXW5JTSKB2ACVA,Excellent phone,Excellent phone. Value for money,Yes,B07X3P1N3Q,Not Deleted,Electric Blue,8+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R2HVJR2USZOE82,5,04-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AEGGVCKFQ5V6K32P3MZEDDJ6PGCQ,Moizuddin Ahmed,AEGGVCKFQ5V6K32P3MZEDDJ6PGCQ,Good,Overall good,Yes,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R1GZBMHXDXXNGL,5,04-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHC37T6LQQPWSHUKORSWNR2IT7QQ,Ranajit Nag,AHC37T6LQQPWSHUKORSWNR2IT7QQ,Excellent,Excellent,Yes,B07X2KLKRZ,Not Deleted,Shadow Black,6+128GB
Default Category,No Custom Name,B07X1KSLBV,IN,"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 128GB Storage with Helio G90T Processor)",https://www.amazon.in/gp/review/R124X5EOFAEVDZ,5,04-05-2020,https://www.amazon.in/gp/profile/amzn1.account.AHFYBEZTYETB3NEZ67LD3EUGQTGA,SANTOSH KUMAR,AHFYBEZTYETB3NEZ67LD3EUGQTGA,Loved,Good smartphone,Yes,B07X2KLYSF,Not Deleted,Electric Blue,6+64GB
