"id","profileName","text","date","title","rating","images"
"R1XPFOGBHSG8K4","Akash peelwa","
  PLZZ read this complete information before buying from AmazonThey do not refund if your product got defected.Amazon is worst in providing services so if you have any option to buy from Flipkart then go there. Don't waste your time on AmazonRegarding mobileWorst mobile i have ever seenBattery charging time is more than expected.Battery drainaing problem is thereCamera will stuck when you click pictures.Poor camera quality they said 48 mp but it's like 12mp.  If you are game lover then PLZZ try another mobile. Performance is very low.I told Amazon customer care to take this product back but they are not helping me instead they want me to go service center in covid19 situation which is in red zone. They can't provide home visit because their technician life is more important than customer. If customer get infected it's ok for them.Thanks Amazon for this service now i hate Amazon more than tiktok.Unistalling the app right now. And also recommending my friend's and relatives to not buy anything from Amazon, they are worst.
","Reviewed in India on 9 June 2020","PLZZ read this before Wasting your money.",1,""
"R3AJTXL8F66G4H","Amit Kumar Gupta","
  Nice product..Nice camera,nice battery backup, everything is best.
","Reviewed in India on 21 March 2020","Thank you Amazon and Redmi",5,"https://images-na.ssl-images-amazon.com/images/I/611ImAHIXvL.jpg
https://images-na.ssl-images-amazon.com/images/I/71cJu+lieRL.jpg
https://images-na.ssl-images-amazon.com/images/I/71nLWuntAAL.jpg"
"REHA9EV6HHUZQ","manish","
  good batter backupgood cameragood mob designno any issue
","Reviewed in India on 21 March 2020","osm mobile phone",4,"https://images-na.ssl-images-amazon.com/images/I/71mr5yIaWBL.jpg"
"R1SR3TST5RX2O9","Janvhi J.","
  Hi all,As I have bought redmi note 9 pro on first sale, I would like to share my review on this.I would give  you my honest experience..I will talk only about the Lacunas/cons  of this phone,1.Battery-it lasts only for 24 hrs by general use,(like phone call, YouTube, whatsup video call) without gaming, while gaming it's battery drains fastly, for charging it takes 2 hrs.2.Camera-As it is 48 MP, I personally did not find anything like 48 MP, rather samsung M30 has better quality of pics than this 48 MP, Night mode is not good enough,Its just a hipe,clarity has to be compromised,Even front camera is not good, pics get blurr by zoom. Same here samsung M30 again have gain..So camera is not as good as they told., blur and shaggy images, I have really disappointed.3.Display- kindly go for super Amoled display, if you compare FHD of redmi note 9 pro and sAmoled of samsung you will really feel the difference,4.Gaming has heating problem,battery drains fastly,5.weight is something I feel heavy, hard to use by single hand.6.sound is average,So it's my honest feedback after using it for 4 days. I really feel disappointed.( In battery, camera, display, Sound)Now other things like processor, interface,speed, design, finger print sensor are best.Thanks 👍
","Reviewed in India on 22 March 2020","Good But Not As Expected",4,"https://images-na.ssl-images-amazon.com/images/I/61Bm60tYPAL.jpg
https://images-na.ssl-images-amazon.com/images/I/61UZstd0z0L.jpg"
"R1I1Y5CMR6XE52","Arun kumar","
  Super camera, battery, sound amazing  very much
","Reviewed in India on 22 March 2020","Very nice protect super",5,"https://images-na.ssl-images-amazon.com/images/I/716soFCAOvL.jpg
https://images-na.ssl-images-amazon.com/images/I/71N+tZuY1ZL.jpg
https://images-na.ssl-images-amazon.com/images/I/816+1SynrTL.jpg
https://images-na.ssl-images-amazon.com/images/I/81umZ-LvhoL.jpg
https://images-na.ssl-images-amazon.com/images/I/910YqCOiYJL.jpg"
"R3P4A87KTEUDJ8","Bhushan","
  Bought Redmi Note 9 Pro (Interstellar Black) in 1st sale, using it extensively. Read my review, if you are planning to buy one.EDIT: 1. Updating review for using more than a month, facing some strange battery drain issue, battery is not lasting even for a day. Once, fully charged, it automatically gets decreased by 5-10% without doing anything.2. For daily usage screen size feels too big, not easily manageable, also device is bulky.--------------------------------Pros:1.  48MP Quad Camera (with Samsung GM2 Sensor) captures amazing pictures, both outdoor as well as indoor.- Even in low light conditions, photo looks cool.- Selfie looks more natural, not over beautification like oppo,vivo.2.  6.67 inch FHD+ dot display looks good.3.  Dedicated Memory card slot.4.  5020 mAH li-polymer battery - it easily lasts for more than a day with average usage.- With 18w charger, it takes less than 2 hrs for full charge.5.  P2i splash-proof nano-coating6.  Notification LED7.  IR Blaster*NavIC for navigation, but haven't noticed any difference than GPS.Cons:1.  60 Hz display (vs 90 Hz display of Realme 6) : Difference is noticable, while playing games.2.  For PUBG, RN9Pro frame rate setting limited to Ultra, on other hand, Realme6 supports up to Extreme.In short, Gaming is better on Realme 6 with MediaTek G90T.Final Verdict: If you want device with better battery performance, Redmi Note 9 Pro is gold choice.- For better display & gaming experience, get Realme 6.*Will edit review, after using few more days.
","Reviewed in India on 26 March 2020","Amazing Camera || Battery Drain Issue , Feels Bulky (Updated)",3,""
"R286WPUUGZ6VRS","Sourabh Sushil","
   As you can see in the video that there is no headphone connected to the device ... No sound is emitted through the device. Poor flaw in the manufacturing sector. I would have rather rated 0 if it the option was present.
","Reviewed in India on 15 May 2020","Speaker Not Working",1,""
"R3RS80S83WVN0H","Harshita Singh","
  The phone is not supporting any kind of SD card and always asking to format the SD card. The medias and files of external storage keeps disappearing automatically without permission. the pictures clicked takes a lot of time in processing and couldnt be viewed instantly.
","Reviewed in India on 23 March 2020","It doesnt support any kind of SD card",1,""
"R39LXKE9IBZOC3","Dr. Rahul Kumar ","
  Not good,Hang and some time show error many times in every app,Some feature problemOver all disappointing
","Reviewed in India on 24 March 2020","Don't buy first redmi phone experince very bad",1,""
"R2ZPG34UJMNGXG","Ankit vashisht","
  Too much hanged when I call someone it hanged and restarted again also replacement is not working only return available is it some kinnd of joke.
","Reviewed in India on 30 March 2020","Hanged phone",1,""
