feature,total,occurs,percent
"['battery', 'backup']",76,61,0.8026315789473685
"['battery', 'camera']",186,19,0.10215053763440861
"['battery', 'day']",59,14,0.23728813559322035
"['battery', 'fingerprint']",41,2,0.04878048780487805
"['life', 'battery']",260,245,0.9423076923076923
"['battery', 'mobile']",49,4,0.08163265306122448
"['battery', 'performance']",49,10,0.20408163265306123
"['battery', 'phone']",136,17,0.125
"['battery', 'quality']",86,9,0.10465116279069768
"['budget', 'phone']",139,73,0.5251798561151079
"['day', 'camera']",42,5,0.11904761904761904
"['display', 'camera']",48,4,0.08333333333333333
"['finger', 'camera']",46,4,0.08695652173913043
"['fingerprint', 'camera']",53,5,0.09433962264150944
"['gaming', 'camera']",44,3,0.06818181818181818
"['life', 'camera']",100,6,0.06
"['mobile', 'camera']",76,15,0.19736842105263158
"['money', 'camera']",39,6,0.15384615384615385
"['camera', 'performance']",62,7,0.11290322580645161
"['camera', 'phone']",163,30,0.18404907975460122
"['camera', 'price']",47,8,0.1702127659574468
"['pro', 'camera']",57,14,0.24561403508771928
"['camera', 'processor']",43,6,0.13953488372093023
"['camera', 'product']",46,6,0.13043478260869565
"['camera', 'quality']",298,245,0.8221476510067114
"['day', 'phone']",90,14,0.15555555555555556
"['feature', 'phone']",96,24,0.25
"['finger', 'print']",48,47,0.9791666666666666
"['life', 'fingerprint']",22,2,0.09090909090909091
"['fingerprint', 'quality']",25,2,0.08
"['game', 'phone']",92,14,0.15217391304347827
"['gaming', 'phone']",85,17,0.2
"['issue', 'heating']",48,42,0.875
"['issue', 'phone']",91,15,0.16483516483516483
"['life', 'phone']",89,11,0.12359550561797752
"['life', 'quality']",55,4,0.07272727272727272
"['money', 'phone']",86,18,0.20930232558139536
"['money', 'value']",131,129,0.9847328244274809
"['month', 'phone']",102,21,0.20588235294117646
"['note', 'phone']",93,13,0.13978494623655913
"['pro', 'note']",115,99,0.8608695652173913
"['redmi', 'note']",107,93,0.8691588785046729
"['phone', 'performance']",104,27,0.25961538461538464
"['quality', 'performance']",33,0,0.0
"['price', 'phone']",153,72,0.47058823529411764
"['pro', 'phone']",96,12,0.125
"['problem', 'phone']",88,13,0.14772727272727273
"['quality', 'phone']",118,21,0.17796610169491525
"['range', 'phone']",119,33,0.2773109243697479
"['redmi', 'phone']",105,25,0.23809523809523808
"['time', 'phone']",85,12,0.1411764705882353
"['range', 'price']",59,56,0.9491525423728814
