feature,total,p
amazon,69,69
app,48,48
awesome,230,230
backup,66,3
battery,597,286
budget,130,49
camera,831,560
day,111,111
device,82,82
display,86,86
experience,65,65
feature,124,124
finger,64,17
fingerprint,99,99
game,108,108
gaming,94,94
good,1670,1670
heating,100,59
issue,154,112
life,272,25
mark,41,41
mobile,479,479
mode,44,44
money,186,56
month,128,128
nice,375,375
note,154,24
performance,201,201
phone,1361,1186
picture,45,45
price,254,133
print,50,3
pro,164,62
problem,135,130
processor,66,64
product,482,479
pubg,78,78
quality,454,183
range,121,65
reader,54,54
redmi,167,73
screen,58,58
sensor,55,55
smartphone,44,28
speed,40,40
superb,73,73
thing,37,37
time,106,106
use,209,209
value,142,12
video,63,63
