feature,pos,neg,compound,score
camera quality,43.585999999999984,8.6,30.859800000000003,83.5204844211091
battery backup,20.617000000000008,1.483,18.1136,93.289592760181
redmi note,5.384,1.446,3.0925000000000002,78.82869692532944
redmi pro,3.246,0.0,2.8509999999999995,100.00000000000001
pro note,6.914000000000001,2.7609999999999997,2.2216,71.46253229974161
finger print,7.1899999999999995,0.796,5.995900000000002,90.03255697470574
finger sensor,4.188000000000001,0.608,3.7403,87.32276897414513
print sensor,3.714,0.0,3.6596,100.0
life battery,45.222999999999985,0.31,40.22049999999999,99.31917510377089
gaming experience,4.159000000000001,0.0,3.887800000000001,100.0
fingerprint sensor,1.236,2.956,-1.8508999999999998,29.48473282442748
range price,11.996999999999996,0.0,11.0347,100.0
reader fingerprint,5.896999999999999,0.318,4.6187000000000005,94.88334674175383
mobile price,8.9,0.0,8.6881,100.0
segment price,5.22,0.0,5.3184,100.0
money value,28.925000000000008,0.0,22.481299999999997,100.0
